Id,LtsVersion,CurrentVersion
Microsoft.AspNetCore.Mvc.Formatters.Json,1.0.2,1.1.0
Microsoft.AspNetCore.Mvc.Localization,1.0.2,1.1.0
Microsoft.AspNetCore.Mvc.Razor,1.0.2,1.1.0
Microsoft.AspNetCore.Mvc.Razor.Host,1.0.2,1.1.0
Microsoft.AspNetCore.Mvc.TagHelpers,1.0.2,1.1.0
Microsoft.AspNetCore.Mvc.ViewFeatures,1.0.2,1.1.0
Microsoft.AspNetCore.Razor,1.0.1,1.1.0
Microsoft.AspNetCore.Razor.Runtime,1.0.1,1.1.0
Microsoft.AspNetCore.Server.IISIntegration,1.0.1,1.1.0
Microsoft.AspNetCore.Server.Kestrel,1.0.2,1.1.0
Microsoft.AspNetCore.WebUtilities,1.0.1,1.1.0
Microsoft.Bcl,1.1.9,1.1.9
Microsoft.Bcl.Build,1.0.14,1.0.14
Microsoft.CodeAnalysis.Analyzers,1.1.0,1.1.0
Microsoft.CodeAnalysis.Common,1.3.0,1.3.0
Microsoft.CodeAnalysis.CSharp,1.3.0,1.3.0
Microsoft.CodeAnalysis.VisualBasic,1.3.0,1.3.0
Microsoft.CSharp,4.0.1,4.3.0
Microsoft.DotNet.InternalAbstractions,1.0.0,
Microsoft.Extensions.Caching.Abstractions,1.0.1,1.1.0
Microsoft.Extensions.Configuration.Abstractions,1.0.1,1.1.0
Microsoft.Extensions.DependencyInjection.Abstractions,1.0.1,1.1.0
Microsoft.Extensions.DependencyModel,1.0.0,1.1.0
Microsoft.Extensions.FileProviders.Abstractions,1.0.1,1.1.0
Microsoft.Extensions.Localization.Abstractions,1.0.1,1.1.0
Microsoft.Extensions.Logging.Abstractions,1.0.1,1.1.0
Microsoft.Extensions.ObjectPool,1.0.1,1.1.0
Microsoft.Extensions.Options,1.0.1,1.1.0
Microsoft.Extensions.Options.ConfigurationExtensions,1.0.1,1.1.0
Microsoft.Extensions.PlatformAbstractions,1.0.0,1.1.0
Microsoft.Extensions.Primitives,1.0.1,1.1.0
Microsoft.Extensions.WebEncoders,1.0.1,1.1.0
Microsoft.IdentityModel.Logging,1.0.0,1.1.0
Microsoft.IdentityModel.Protocols,2.0.0,2.1.0
Microsoft.IdentityModel.Protocols.OpenIdConnect,2.0.0,2.1.0
Microsoft.IdentityModel.Tokens,5.0.0,5.1.0
Microsoft.Net.Http,2.2.22,2.2.22
Microsoft.Net.Http.Headers,1.0.1,1.1.0
Microsoft.NETCore.DotNetHost,1.0.1,1.1.0
Microsoft.NETCore.DotNetHostPolicy,1.0.3,1.1.0
Microsoft.NETCore.DotNetHostResolver,1.0.1,1.1.0
Microsoft.NETCore.Jit,1.0.5,1.1.0
Microsoft.NETCore.Platforms,1.0.2,1.1.0
Microsoft.NETCore.Runtime.CoreCLR,1.0.5,1.1.0
Microsoft.NETCore.Targets,1.0.1,1.1.0
Microsoft.NETCore.Windows.ApiSets,1.0.1,1.0.1
Microsoft.VisualBasic,10.0.1,10.1.0
Microsoft.Win32.Primitives,4.0.1,4.3.0
Microsoft.Win32.Registry,4.0.0,4.3.0
NETStandard.Library,1.6.0,1.6.1
Newtonsoft.Json,9.0.1,9.0.1
Remotion.Linq,2.1.1,2.1.1
runtime.native.System,4.0.0,4.3.0
runtime.native.System.Data.SqlClient.sni,4.0.0,4.3.0
runtime.native.System.IO.Compression,4.1.0,4.3.0
runtime.native.System.Net.Http,4.0.1,4.3.0
runtime.native.System.Net.Security,4.0.1,4.3.0
runtime.native.System.Security.Cryptography,4.0.0,
runtime.win7-x64.runtime.native.System.Data.SqlClient.sni,4.0.1,4.3.0
runtime.win7-x86.runtime.native.System.Data.SqlClient.sni,4.0.1,4.3.0
SQLite,3.13.0,3.13.0
System.AppContext,4.1.0,4.3.0
System.Buffers,4.0.0,4.3.0
System.Collections,4.0.11,4.3.0
System.Collections.Concurrent,4.0.12,4.3.0
System.Collections.Immutable,1.2.0,1.3.0
System.Collections.NonGeneric,4.0.1,4.3.0
System.Collections.Specialized,4.0.1,4.3.0
System.ComponentModel,4.0.1,4.3.0
System.ComponentModel.Annotations,4.1.0,4.3.0
System.ComponentModel.EventBasedAsync,4.0.11,4.3.0
System.ComponentModel.Primitives,4.1.0,4.3.0
System.ComponentModel.TypeConverter,4.1.0,4.3.0
System.Console,4.0.0,4.3.0
System.Data.Common,4.1.0,4.3.0
System.Data.SqlClient,4.1.0,4.3.0
System.Diagnostics.Contracts,4.0.1,4.3.0
System.Diagnostics.Debug,4.0.11,4.3.0
System.Diagnostics.DiagnosticSource,4.0.0,4.3.0
System.Diagnostics.FileVersionInfo,4.0.0,4.0.0
System.Diagnostics.Process,4.1.0,4.3.0
System.Diagnostics.StackTrace,4.0.1,4.3.0
System.Diagnostics.Tools,4.0.1,4.3.0
System.Diagnostics.TraceSource,4.0.0,4.3.0
System.Diagnostics.Tracing,4.1.0,4.3.0
System.Dynamic.Runtime,4.0.11,4.3.0
System.Globalization,4.0.11,4.3.0
System.Globalization.Calendars,4.0.1,4.3.0
System.Globalization.Extensions,4.0.1,4.3.0
System.IdentityModel.Tokens.Jwt,5.0.0,5.1.0
System.Interactive.Async,3.0.0,3.0.0
System.IO,4.1.0,4.3.0
System.IO.Compression,4.1.0,4.3.0
System.IO.Compression.ZipFile,4.0.1,4.3.0
System.IO.FileSystem,4.0.1,4.3.0
System.IO.FileSystem.Primitives,4.0.1,4.3.0
System.IO.FileSystem.Watcher,4.0.0,4.3.0
System.IO.MemoryMappedFiles,4.0.0,4.3.0
System.IO.Pipes,4.0.0,4.3.0
System.IO.UnmanagedMemoryStream,4.0.1,4.3.0
System.Linq,4.1.0,4.3.0
System.Linq.Expressions,4.1.0,4.3.0
System.Linq.Parallel,4.0.1,4.3.0
System.Linq.Queryable,4.0.1,4.3.0
System.Net.Http,4.1.1,4.3.0
System.Net.NameResolution,4.0.0,4.3.0
System.Net.Primitives,4.0.11,4.3.0
System.Net.Requests,4.0.11,4.3.0
System.Net.Security,4.0.0,4.3.0
System.Net.Sockets,4.1.0,4.3.0
System.Net.WebHeaderCollection,4.0.1,4.3.0
System.Net.WebSockets,4.0.0,4.3.0
System.Net.WebSockets.Client,4.0.0,4.3.0
System.Numerics.Vectors,4.1.1,4.3.0
System.ObjectModel,4.0.12,4.3.0
System.Private.DataContractSerialization,4.1.1,4.3.0
System.Private.ServiceModel,4.1.0,4.3.0
System.Reflection,4.1.0,4.3.0
System.Reflection.DispatchProxy,4.0.1,4.3.0
System.Reflection.Emit,4.0.1,4.3.0
System.Reflection.Emit.ILGeneration,4.0.1,4.3.0
System.Reflection.Emit.Lightweight,4.0.1,4.3.0
System.Reflection.Extensions,4.0.1,4.3.0
System.Reflection.Metadata,1.3.0,1.4.1
System.Reflection.Primitives,4.0.1,4.3.0
System.Reflection.TypeExtensions,4.1.0,4.3.0
System.Resources.Reader,4.0.0,4.3.0
System.Resources.ResourceManager,4.0.1,4.3.0
System.Runtime,4.1.0,4.3.0
System.Runtime.Extensions,4.1.0,4.3.0
System.Runtime.Handles,4.0.1,4.3.0
System.Runtime.InteropServices,4.1.0,4.3.0
System.Runtime.InteropServices.RuntimeInformation,4.0.0,4.3.0
System.Runtime.Loader,4.0.0,4.3.0
System.Runtime.Numerics,4.0.1,4.3.0
System.Runtime.Serialization.Primitives,4.1.1,4.3.0
System.Runtime.Serialization.Xml,4.1.1,4.3.0
System.Security.Claims,4.0.1,4.3.0
System.Security.Cryptography.Algorithms,4.2.0,4.3.0
System.Security.Cryptography.Cng,4.2.0,4.3.0
System.Security.Cryptography.Csp,4.0.0,4.3.0
System.Security.Cryptography.Encoding,4.0.0,4.3.0
System.Security.Cryptography.OpenSsl,4.0.0,4.3.0
System.Security.Cryptography.Primitives,4.0.0,4.3.0
System.Security.Cryptography.X509Certificates,4.1.0,4.3.0
System.Security.Principal,4.0.1,4.3.0
System.Security.Principal.Windows,4.0.0,4.3.0
System.ServiceModel.Primitives,4.1.0,4.3.0
System.Text.Encoding,4.0.11,4.3.0
System.Text.Encoding.CodePages,4.0.1,4.3.0
System.Text.Encoding.Extensions,4.0.11,4.3.0
System.Text.Encodings.Web,4.0.0,4.3.0
System.Text.RegularExpressions,4.1.0,4.3.0
System.Threading,4.0.11,4.3.0
System.Threading.Overlapped,4.0.1,4.3.0
System.Threading.Tasks,4.0.11,4.3.0
System.Threading.Tasks.Dataflow,4.6.0,4.7.0
System.Threading.Tasks.Extensions,4.0.0,4.3.0
System.Threading.Tasks.Parallel,4.0.1,4.3.0
System.Threading.Thread,4.0.0,4.3.0
System.Threading.ThreadPool,4.0.10,4.3.0
System.Threading.Timer,4.0.1,4.3.0
System.Xml.ReaderWriter,4.0.11,4.3.0
System.Xml.XDocument,4.0.11,4.3.0
System.Xml.XmlDocument,4.0.1,4.3.0
System.Xml.XmlSerializer,4.0.11,4.3.0
System.Xml.XPath,4.0.1,4.0.1
System.Xml.XPath.XDocument,4.0.1,4.0.1
Microsoft.AspNetCore.ResponseCaching.Abstractions,,1.1.0
Microsoft.Azure.KeyVault,,2.0.2-preview
Microsoft.Azure.KeyVault.WebKey,,2.0.0-preview
Microsoft.Data.Edm,,5.6.4
Microsoft.Data.OData,,5.6.4
Microsoft.Data.Services.Client,,5.6.4
Microsoft.DiaSymReader.Native,,1.4.0
Microsoft.DotNet.PlatformAbstractions,,1.1.0
Microsoft.IdentityModel.Clients.ActiveDirectory,,3.13.5
Microsoft.Rest.ClientRuntime,,2.3.2
Microsoft.Rest.ClientRuntime.Azure,,3.3.1
runtime.debian.8-x64.runtime.native.System.Security.Cryptography.OpenSsl,,4.3.0
runtime.fedora.23-x64.runtime.native.System.Security.Cryptography.OpenSsl,,4.3.0
runtime.fedora.24-x64.runtime.native.System.Security.Cryptography.OpenSsl,,4.3.0
runtime.native.System.Security.Cryptography.Apple,,4.3.0
runtime.native.System.Security.Cryptography.OpenSsl,,4.3.0
runtime.opensuse.13.2-x64.runtime.native.System.Security.Cryptography.OpenSsl,,4.3.0
runtime.opensuse.42.1-x64.runtime.native.System.Security.Cryptography.OpenSsl,,4.3.0
runtime.osx.10.10-x64.runtime.native.System.Security.Cryptography.Apple,,4.3.0
runtime.osx.10.10-x64.runtime.native.System.Security.Cryptography.OpenSsl,,4.3.0
runtime.rhel.7-x64.runtime.native.System.Security.Cryptography.OpenSsl,,4.3.0
runtime.ubuntu.14.04-x64.runtime.native.System.Security.Cryptography.OpenSsl,,4.3.0
runtime.ubuntu.16.04-x64.runtime.native.System.Security.Cryptography.OpenSsl,,4.3.0
runtime.ubuntu.16.10-x64.runtime.native.System.Security.Cryptography.OpenSsl,,4.3.0
Serilog,,2.3.0
Serilog.Extensions.Logging,,1.0.0
Serilog.Sinks.File,,3.1.0
Serilog.Sinks.PeriodicBatching,,2.0.0
Serilog.Sinks.RollingFile,,3.1.0
StackExchange.Redis.StrongName,,1.1.605
System.Runtime.CompilerServices.Unsafe,,4.3.0
System.Runtime.Serialization.Json,,4.0.2
System.Spatial,,5.6.4
WindowsAzure.Storage,,7.2.1
